,capped_normalized_return,eval_episode_return,eval_frame_rate,eval_num_episodes,frame,human_gap,iteration,normalized_return,train_episode_return,train_exploration_epsilon,train_frame_rate,train_num_episodes,environment_name,seed
85,-1,0.0,-1,-1,74000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
86,-1,0.0,-1,-1,0,-1,-1,0.0,-1,-1,-1,-1,venture,0
87,-1,0.0,-1,-1,2000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
88,-1,0.0,-1,-1,4000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
89,-1,0.0,-1,-1,6000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
90,-1,0.0,-1,-1,8000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
91,-1,0.0,-1,-1,10000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
92,-1,0.0,-1,-1,12000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
93,-1,0.0,-1,-1,14000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
94,-1,0.0,-1,-1,16000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
95,-1,0.0,-1,-1,18000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
96,-1,0.0,-1,-1,20000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
97,-1,0.0,-1,-1,22000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
98,-1,0.0,-1,-1,24000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
99,-1,0.0,-1,-1,26000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
100,-1,0.0,-1,-1,28000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
101,-1,0.0,-1,-1,30000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
102,-1,0.0,-1,-1,32000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
103,-1,0.0,-1,-1,34000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
104,-1,0.0,-1,-1,36000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
105,-1,0.0,-1,-1,38000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
106,-1,0.0,-1,-1,40000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
107,-1,0.0,-1,-1,42000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
108,-1,0.0,-1,-1,44000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
109,-1,0.0,-1,-1,46000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
110,-1,0.0,-1,-1,48000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
111,-1,0.0,-1,-1,50000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
112,-1,0.0,-1,-1,52000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
113,-1,0.0,-1,-1,54000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
114,-1,0.0,-1,-1,56000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
115,-1,0.0,-1,-1,58000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
116,-1,0.0,-1,-1,60000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
117,-1,0.0,-1,-1,62000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
118,-1,0.0,-1,-1,64000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
119,-1,0.0,-1,-1,66000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
120,-1,0.0,-1,-1,68000000,-1,-1,0.0,-1,-1,-1,-1,venture,0
121,-1,0.0,-1,-1,0,-1,-1,0.0,-1,-1,-1,-1,freeway,4
122,-1,0.0,-1,-1,2000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
123,-1,0.0,-1,-1,4000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
124,-1,0.0,-1,-1,6000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
125,-1,4.0,-1,-1,8000000,-1,-1,0.13513513513513511,-1,-1,-1,-1,freeway,4
126,-1,0.0,-1,-1,10000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
127,-1,5.6,-1,-1,12000000,-1,-1,0.18918918918918917,-1,-1,-1,-1,freeway,4
